lcc,researcher,date,familiarity,file,pixels,test,cla,gam,con,den,bil,wav,uns,hig,wie
nc,taggart,historic,unknown,tag_allsmoke_h,14556781,0.90341096,0.85116292,0.88907563,0.83714016,0.89249879,0.90550898,0.8672268,0.91171078,0.90554131,0.85935726
bmw,taggart,historic,unknown,tag_allsmoke_h,1,0.00025661,0.00028245,0.0000166,0.00534759,0.00011302,0.00043412,0.00000471,0.00038095,1,1
c,taggart,historic,unknown,tag_allsmoke_h,4399335,0.64554857,0.6739829,0.68439625,0.6121373,0.52974686,0.51085987,0.58788362,0.79404933,0.76679745,0.6370364
hs,taggart,historic,unknown,tag_allsmoke_h,1092540,0.36945903,0.22511364,0.37182847,0.32701125,0.3720021,0.32205355,0.3690617,0.41128161,0.3856692,0.24101276
sgr,taggart,historic,unknown,tag_allsmoke_h,192754,0.16205013,0.15204391,0.19231297,0.1438948,0.11071379,0.14880169,0.1694537,0.25255293,0.17450033,0.10153516
wl,taggart,historic,unknown,tag_allsmoke_h,1,1,1,1,0.0000191,1,0.00064041,1,1,1,0.0000479
wt,taggart,historic,unknown,tag_allsmoke_h,1,0.00823045,1,0.00714286,0.00013002,0.00043262,0.00039487,0.00074878,0.00453515,0.00148258,0.00016899
si,taggart,historic,unknown,tag_allsmoke_h,644858,0.2594709,0.33732851,0.23163243,0.26727192,0.2837188,0.16821674,0.2275448,0.28829366,0.29506489,0.24104363
ra,taggart,historic,unknown,tag_allsmoke_h,1053389,0.20457167,0.0000019,0.21804782,0.0000019,0.24212247,0.24764093,0.1926655,0.1990826,0.18609775,0.13714172
nc,taggart,historic,unknown,tag_mtindef_2h,10533196,0.99597416,0.99863365,0.99621429,0.99639587,0.96989974,0.98372918,0.99366552,0.97329128,0.98345034,0.99052556
bmw,taggart,historic,unknown,tag_mtindef_2h,1,0.00233918,1,0.00012214,1,1,0.01834862,0.00208333,1,1,0.00016559
c,taggart,historic,unknown,tag_mtindef_2h,3907593,0.80745228,0.77613897,0.82040912,0.78323996,0.67443268,0.7348422,0.78806883,0.79197673,0.72842811,0.77826604
hs,taggart,historic,unknown,tag_mtindef_2h,11899,0.00519757,0.00964642,0.00817176,0.00659909,0.00778828,0.00366925,0.00513374,0.00450829,0.00438279,0.00053732
sgr,taggart,historic,unknown,tag_mtindef_2h,1816805,0.89106922,0.89706962,0.88085488,0.86742139,0.86255287,0.86995307,0.89254335,0.87410626,0.88043228,0.89603303
wl,taggart,historic,unknown,tag_mtindef_2h,1,0.00010785,1,0.00010914,1,0.0000693,0.0000685,0.00011304,0.0000744,0.00159109,0.0000151
wt,taggart,historic,unknown,tag_mtindef_2h,241846,0.03134755,0.0549565,0.01920628,0.05753316,0.04504415,0.03545231,0.02588461,0.01900346,0.04313998,0.04122953
si,taggart,historic,unknown,tag_mtindef_2h,6929,0.699569,0.18646966,0.71552299,0.68992614,0.68679302,0.60163905,0.69370533,0.66518334,0.69831054,0.69828087
ra,taggart,historic,unknown,tag_mtindef_2h,1056147,0.03121499,0.06841921,0.01540196,0.00147346,0.00381103,0.00651892,0.05608652,0.00533999,0.00000189,0.00000189
nc,taggart,historic,unknown,tag_sin_1h,9916500,0.90849775,0.89390865,0.91166272,0.88573047,0.88498514,0.92078666,0.92138219,0.93215944,0.93316363,0.92943833
bmw,taggart,historic,unknown,tag_sin_1h,1882780,0.21423953,0.31357677,0.16932222,0.17374987,0.26786677,0.17877426,0.15706842,0.0656981,0.02777043,0.18871946
c,taggart,historic,unknown,tag_sin_1h,7177424,0.87440939,0.85037037,0.86812781,0.81921871,0.85598449,0.86479427,0.87136727,0.85440629,0.84733787,0.86173995
hs,taggart,historic,unknown,tag_sin_1h,1713868,0.19633208,0.20727849,0.18893706,0.37478176,0.18432242,0.23609673,0.22088237,0.20281281,0.21071474,0.26988126
sgr,taggart,historic,unknown,tag_sin_1h,1,0.00000605,0.00000337,0.00000502,0.00000314,0.00000517,0.00000595,0.00000466,0.00000428,0.00000385,0.00000274
wl,taggart,historic,unknown,tag_sin_1h,1,0.00057703,0.00099701,0.00197044,1,0.00017868,0.01680672,0.00055633,0.00108225,1,0.00023253
wt,taggart,historic,unknown,tag_sin_1h,1,0.02469136,1,0.00609756,1,0.00315457,1,0.03225806,0.00221239,0.01030928,0.00119617
si,taggart,historic,unknown,tag_sin_1h,1,0.00082508,0.00000495,0.00335008,0.00000737,0.00016995,0.0000246,0.000518,0.00018674,0.00013058,0.00025371
ra,taggart,historic,unknown,tag_sin_1h,210115,0.0000086,0.00000933,0.00000812,0.01092837,0.00000743,0.00000781,0.00000882,0.0000084,0.00000734,0.00000834
