accuracy,researcher,date,familiarity,file,pixels,test,cla,gam,con,den,bil,wav,uns,hig,wie
wm_f1,jean,historic,known,jean_34h,18144472,0.95723723,0.93106437,0.95976356,0.93924666,0.95291559,0.94921832,0.95382211,0.95374183,0.95120175,0.94370195
iwm_iou,jean,historic,known,jean_34h,18144472,0.92726376,0.88318848,0.93119228,0.89795747,0.91921883,0.91301138,0.92127400,0.92065752,0.91682918,0.90422707
mcc,jean,repeat,known,jean_34r,18144472,0.91877271,0.80290195,0.91468435,0.89843784,0.85504539,0.88653053,0.89805608,0.90974645,0.91860788,0.91500539
wm_f1,jean,repeat,known,jean_34r,18144472,0.94927827,0.88097466,0.94671207,0.93922075,0.90768527,0.92931164,0.93934677,0.94204678,0.94520628,0.94213809
iwm_iou,jean,repeat,known,jean_34r,18144472,0.91229841,0.81371896,0.90917832,0.89698905,0.84367111,0.8833109,0.89658958,0.90308417,0.90871996,0.90591245
mcc,jean,historic,known,jean_56h,16890590,0.88212479,0.70539900,0.87204813,0.86637994,0.8840793,0.70268212,0.87101547,0.86601884,0.7985272,0.82624294
wm_f1,jean,historic,known,jean_56h,16890590,0.92263876,0.80244094,0.91620267,0.91368566,0.92351254,0.80738643,0.91536551,0.9127507,0.86511982,0.88371078
iwm_iou,jean,historic,known,jean_56h,16890590,0.87062168,0.68085165,0.86081188,0.85927023,0.87323465,0.74203089,0.85989029,0.85692627,0.77905386,0.81063151
mcc,jean,repeat,known,jean_56r,16890590,0.89333543,0.78586786,0.89272529,0.86046599,0.86835916,0.64709958,0.88790993,0.88699607,0.87407105,0.81636662
wm_f1,jean,repeat,known,jean_56r,16890590,0.92357187,0.87071193,0.92408854,0.89962393,0.90226999,0.72444865,0.91804751,0.9174818,0.91088554,0.87972552
iwm_iou,jean,repeat,known,jean_56r,16890590,0.8764237,0.80723996,0.8761407,0.85953224,0.86269558,0.66222516,0.87078355,0.86987339,0.86312639,0.82037068
mcc,taggart,repeat,unknown,tag_mtbald_1r,24231213,0.74158799,0.68669651,0.7426229,0.65502528,0.66960305,0.71070190,0.70281241,0.7339374,0.71102388,0.72592867
wm_f1,taggart,repeat,unknown,tag_mtbald_1r,24231213,0.81527411,0.77619618,0.81209362,0.75808868,0.76029886,0.79123030,0.78303476,0.79217037,0.79717564,0.79895763
iwm_iou,taggart,repeat,unknown,tag_mtbald_1r,24231213,0.73793106,0.68938784,0.73375183,0.65950277,0.66659471,0.71576336,0.70166448,0.71231357,0.71184449,0.71899289
mcc,taggart,repeat,unknown,tag_forget_2r,29124955,0.88471509,0.87422561,0.88332393,0.87854245,0.87373300,0.85123538,0.87445413,0.88905692,0.8896892,0.88433436
wm_f1,taggart,repeat,unknown,tag_forget_2r,29124955,0.94003962,0.93606927,0.9387837,0.93442427,0.93569311,0.92431802,0.93655585,0.94197885,0.94281825,0.94012113
iwm_iou,taggart,repeat,unknown,tag_forget_2r,29124955,0.9088874,0.90101577,0.90701661,0.90130847,0.8991362,0.88631716,0.90322161,0.91155091,0.91257423,0.90868854
mcc,taggart,repeat,unknown,tag_mtbald_2r,24658746,0.76402735,0.66391077,0.74126063,0.76792362,0.48504782,0.70784362,0.76129117,0.71301483,0.77060964,0.75653882
wm_f1,taggart,repeat,unknown,tag_mtbald_2r,24658746,0.85674964,0.81074651,0.84125744,0.85771418,0.6910574,0.83238369,0.85289762,0.82044257,0.86082043,0.84997250
iwm_iou,taggart,repeat,unknown,tag_mtbald_2r,24658746,0.80028473,0.72613941,0.77394996,0.79877864,0.57660346,0.76995411,0.79394503,0.74528215,0.80323870,0.79200244
mcc,taggart,historic,unknown,tag_forget_2h,29124955,0.67642647,0.52099297,0.67711356,0.57943792,0.66163689,0.57913816,0.70678642,0.73530691,0.67345473,0.66934620
wm_f1,taggart,historic,unknown,tag_forget_2h,29124955,0.79689610,0.65720908,0.79586108,0.70643288,0.80060615,0.71815798,0.81702539,0.83306097,0.80409725,0.78979007
iwm_iou,taggart,historic,unknown,tag_forget_2h,29124955,0.71958554,0.59913023,0.72081474,0.64522297,0.71942821,0.64102988,0.74185233,0.77161355,0.72927936,0.70662831
mcc,taggart,historic,unknown,tag_mtbald_1h,24231213,0.57122529,0.50310124,0.55274309,0.52671798,0.52153228,0.51438188,0.55141428,0.55045292,0.54718458,0.57096371
wm_f1,taggart,historic,unknown,tag_mtbald_1h,24231213,0.69938737,0.65608618,0.68694812,0.67668751,0.65825696,0.65950676,0.71606285,0.68338613,0.65768221,0.67086787
iwm_iou,taggart,historic,unknown,tag_mtbald_1h,24231213,0.62931593,0.58380992,0.60529566,0.60921476,0.58687261,0.57999201,0.63131026,0.61006639,0.58275471,0.5971286
